id,createdTime,fields.Temp Max,fields.Viento,fields.Lluvia,fields.Tiempo,fields.Temp Min,fields.Ubicacion,fields.Fecha
rec01K8KaBvXI5EDf,2024-01-10T18:09:14.000Z,24,18,0.0,Parcialmente nublado,12,Madrid,18 de abril 2022
rec01RliefQAF5CmE,2024-01-10T18:05:28.000Z,25,14,0.0,Nublado,17,Málaga,11 de mayo 2023
rec0254oU7MTF0767,2024-01-10T18:09:09.000Z,15,24,3.3,Ligeras lluvias,7,Madrid,8 de abril 2019
rec02B5YN7d2RuV6R,2024-01-10T18:04:48.000Z,19,8,0.0,Despejado,14,Málaga,12 de marzo 2019
rec02asH1NVvXJfjK,2024-01-10T18:15:39.000Z,14,19,0.0,Parcialmente nublado,9,A Coruña,20 de noviembre 2020
rec03DWsUF3xV5Qpb,2024-01-10T18:10:46.000Z,31,11,0.0,Parcialmente nublado,21,Madrid,3 de septiembre 2021
rec03iOIDHZglvfd4,2024-01-10T18:12:48.000Z,9,23,0.0,Nublado,6,A Coruña,7 de marzo 2021
rec04yyrpAd4lRQGe,2024-01-10T18:16:00.000Z,12,27,9.0,Ligeras precipitaciones,9,A Coruña,23 de diciembre 2020
rec05S9RaAqyVKwah,2024-01-10T18:07:52.000Z,14,11,2.2,Ligeras precipitaciones,12,Málaga,15 de diciembre 2022
rec05h2V60dReaq3f,2024-01-10T18:06:15.000Z,28,10,0.0,Parcialmente nublado,24,Málaga,19 de julio 2020
rec06HwixVFXz77HU,2024-01-10T18:06:45.000Z,28,11,0.0,Despejado,22,Málaga,5 de septiembre 2023
rec06rI7Or0QWf3YN,2024-01-10T18:06:41.000Z,34,14,0.0,Parcialmente nublado,24,Málaga,29 de agosto 2021
rec082aluO7uQZM5L,2024-01-10T18:05:31.000Z,19,28,4.7,Ligeras precipitaciones,14,Málaga,14 de mayo 2020
rec08FcJcAK4E6cw0,2024-01-10T18:07:09.000Z,25,6,0.0,Parcialmente nublado,19,Málaga,8 de octubre 2020
rec0Bynwqw7wolk5m,2024-01-10T18:07:16.000Z,28,10,0.0,Despejado,20,Málaga,21 de octubre 2022
rec0CIFRad92k1dw7,2024-01-10T18:05:31.000Z,24,9,0.0,Nublado,17,Málaga,15 de mayo 2022
rec0D25GgmtSpmFVJ,2024-01-10T18:14:57.000Z,22,26,0.5,Parcialmente nublado,17,A Coruña,16 de septiembre 2019
rec0DI951S8bWQLwS,2024-01-10T18:11:20.000Z,22,9,0.0,Cielo cubierto,12,Madrid,24 de octubre 2021
rec0DPPOkAKltvFt3,2024-01-10T18:09:49.000Z,21,15,3.9,Ligeras precipitaciones,16,Madrid,8 de junio 2023
rec0Df4x7kInJorqb,2024-01-10T18:11:14.000Z,20,19,0.4,Lluvia moderada a intervalos,15,Madrid,16 de octubre 2023
rec0E98Z05JGybbl6,2024-01-10T18:12:09.000Z,13,11,0.0,Parcialmente nublado,7,A Coruña,6 de enero 2019
rec0EKoxkkLpQCu9n,2024-01-10T18:04:27.000Z,16,25,16.8,Lluvias con tormenta fuertes o moderadas en la región,11,Málaga,8 de febrero 2021
rec0EZ078By1M7Kh0,2024-01-10T18:15:54.000Z,14,29,5.7,Ligeras precipitaciones,13,A Coruña,14 de diciembre 2019
rec0EfQYxYjuLqArC,2024-01-10T18:11:32.000Z,8,31,2.7,Ligeras lluvias,5,Madrid,10 de noviembre 2019
rec0FNlSJ9zui6HSw,2024-01-10T18:06:25.000Z,31,9,0.0,Despejado,25,Málaga,5 de agosto 2019
rec0GwY0u54hpI8Xo,2024-01-10T18:14:49.000Z,23,17,4.9,Cielo cubierto,17,A Coruña,5 de septiembre 2023
rec0IDd73h0SLp5uc,2024-01-10T18:09:30.000Z,18,26,3.6,Intervalos de lluvias ligeras con tomenta en la región,8,Madrid,12 de mayo 2023
rec0IJEvLsJ7DmTgU,2024-01-10T18:05:44.000Z,30,14,0.0,Despejado,16,Málaga,4 de junio 2022
rec0IdNXaVUR7HcfA,2024-01-10T18:08:19.000Z,6,18,0.0,Parcialmente nublado,0,Madrid,24 de enero 2023
rec0K2h1V7BEVpe0L,2024-01-10T18:11:08.000Z,22,9,0.0,Parcialmente nublado,13,Madrid,6 de octubre 2020
rec0KEFpKRT8MiYiw,2024-01-10T18:09:26.000Z,24,16,0.0,Despejado,11,Madrid,4 de mayo 2019
