1 de enero 2023,11,9,"17,2 mm",Lluvia moderada,29 Km/h,A Coruña
1 de enero 2022,17,14,"1,5 mm",Llovizna a intervalos,29 Km/h,A Coruña
1 de enero 2021,8,7,"19,5 mm",Lluvias con tormenta fuertes o moderadas en la región,25 Km/h,A Coruña
1 de enero 2020,12,7,0 mm,Parcialmente nublado,7 Km/h,A Coruña
1 de enero 2019,14,9,0 mm,Despejado,6 Km/h,A Coruña
2 de enero 2023,12,8,3 mm,Ligeras precipitaciones,14 Km/h,A Coruña
2 de enero 2022,16,12,"0,1 mm",Nublado,19 Km/h,A Coruña
2 de enero 2021,9,5,"12,4 mm",Lluvias fuertes o moderadas,15 Km/h,A Coruña
2 de enero 2020,12,8,0 mm,Parcialmente nublado,18 Km/h,A Coruña
2 de enero 2019,12,8,0 mm,Parcialmente nublado,18 Km/h,A Coruña
3 de enero 2023,13,7,0 mm,Parcialmente nublado,18 Km/h,A Coruña
3 de enero 2022,17,12,0 mm,Nublado,33 Km/h,A Coruña
3 de enero 2021,8,5,"10,2 mm",Ligeras precipitaciones,19 Km/h,A Coruña
3 de enero 2020,11,9,"2,3 mm",Ligeras lluvias,19 Km/h,A Coruña
3 de enero 2019,14,7,0 mm,Despejado,13 Km/h,A Coruña
4 de enero 2023,15,10,0 mm,Cielo cubierto,17 Km/h,A Coruña
4 de enero 2022,12,9,"2,2 mm",Ligeras precipitaciones,38 Km/h,A Coruña
4 de enero 2021,8,5,"6,5 mm",Ligeras precipitaciones,10 Km/h,A Coruña
4 de enero 2020,12,7,0 mm,Parcialmente nublado,10 Km/h,A Coruña
4 de enero 2019,16,7,0 mm,Despejado,9 Km/h,A Coruña
5 de enero 2023,16,9,0 mm,Despejado,10 Km/h,A Coruña
5 de enero 2022,10,7,"0,8 mm",Llovizna,19 Km/h,A Coruña
5 de enero 2021,7,5,"3,6 mm",Ligeras precipitaciones,14 Km/h,A Coruña
5 de enero 2020,14,7,0 mm,Despejado,9 Km/h,A Coruña
5 de enero 2019,14,8,0 mm,Despejado,7 Km/h,A Coruña
6 de enero 2023,14,9,0 mm,Cielo cubierto,26 Km/h,A Coruña
6 de enero 2022,12,7,0 mm,Cielo cubierto,9 Km/h,A Coruña
6 de enero 2021,8,4,"0,3 mm",Lluvia moderada a intervalos,19 Km/h,A Coruña
6 de enero 2020,11,6,0 mm,Nublado,15 Km/h,A Coruña
6 de enero 2019,13,7,0 mm,Parcialmente nublado,11 Km/h,A Coruña
7 de enero 2023,13,11,"6,7 mm",Ligeras precipitaciones,37 Km/h,A Coruña
7 de enero 2022,12,8,"0,5 mm",Lluvia moderada a intervalos,22 Km/h,A Coruña
7 de enero 2021,8,4,2 mm,Lluvia moderada a intervalos,20 Km/h,A Coruña
