1 de enero 2023,18,13,0 mm,Cielo cubierto,5 Km/h,Málaga
1 de enero 2022,21,13,0 mm,Despejado,5 Km/h,Málaga
1 de enero 2021,12,9,"0,4 mm",Llovizna a intervalos,26 Km/h,Málaga
1 de enero 2020,15,10,0 mm,Parcialmente nublado,6 Km/h,Málaga
1 de enero 2019,17,13,0 mm,Parcialmente nublado,7 Km/h,Málaga
2 de enero 2023,18,14,"0,2 mm",Lluvia moderada a intervalos,9 Km/h,Málaga
2 de enero 2022,21,13,0 mm,Parcialmente nublado,7 Km/h,Málaga
2 de enero 2021,11,6,0 mm,Parcialmente nublado,20 Km/h,Málaga
2 de enero 2020,17,11,0 mm,Parcialmente nublado,4 Km/h,Málaga
2 de enero 2019,17,13,0 mm,Parcialmente nublado,13 Km/h,Málaga
3 de enero 2023,18,14,0 mm,Cielos tormentosos en las aproximaciones,15 Km/h,Málaga
3 de enero 2022,22,13,0 mm,Despejado,5 Km/h,Málaga
3 de enero 2021,11,6,0 mm,Despejado,16 Km/h,Málaga
3 de enero 2020,17,12,0 mm,Parcialmente nublado,8 Km/h,Málaga
3 de enero 2019,14,12,"0,1 mm",Despejado,11 Km/h,Málaga
4 de enero 2023,19,12,0 mm,Despejado,10 Km/h,Málaga
4 de enero 2022,21,12,0 mm,Despejado,13 Km/h,Málaga
4 de enero 2021,11,6,0 mm,Parcialmente nublado,14 Km/h,Málaga
4 de enero 2020,14,12,"0,4 mm",Lluvia moderada a intervalos,14 Km/h,Málaga
4 de enero 2019,14,11,"0,4 mm",Nublado,9 Km/h,Málaga
5 de enero 2023,17,12,0 mm,Parcialmente nublado,11 Km/h,Málaga
5 de enero 2022,15,9,0 mm,Despejado,23 Km/h,Málaga
5 de enero 2021,12,7,"0,1 mm",Parcialmente nublado,11 Km/h,Málaga
5 de enero 2020,14,11,"0,7 mm",Ligeras precipitaciones,9 Km/h,Málaga
5 de enero 2019,17,11,0 mm,Despejado,6 Km/h,Málaga
6 de enero 2023,18,11,0 mm,Despejado,7 Km/h,Málaga
6 de enero 2022,19,11,"0,2 mm",Lluvia moderada a intervalos,14 Km/h,Málaga
6 de enero 2021,9,5,24 mm,Lluvia moderada,26 Km/h,Málaga
6 de enero 2020,15,11,0 mm,Parcialmente nublado,6 Km/h,Málaga
6 de enero 2019,17,12,0 mm,Despejado,11 Km/h,Málaga
7 de enero 2023,20,11,0 mm,Despejado,13 Km/h,Málaga
7 de enero 2022,17,8,0 mm,Despejado,10 Km/h,Málaga
7 de enero 2021,10,7,"45,9 mm",Lluvia moderada,13 Km/h,Málaga
7 de enero 2020,17,11,0 mm,Parcialmente nublado,5 Km/h,Málaga
7 de enero 2019,18,11,0 mm,Despejado,12 Km/h,Málaga
8 de enero 2023,16,12,"0,1 mm",Lluvia moderada a intervalos,15 Km/h,Málaga
8 de enero 2022,18,9,0 mm,Despejado,8 Km/h,Málaga
8 de enero 2021,12,6,"111,3 mm",Fuertes lluvias,27 Km/h,Málaga
